artist,mini,kb,volume,surface_area,bbox_x,bbox_y,bbox_z,bbox_area,mass,euler_number,scale,weight,base_mm,volume_g,mass_g,volume_mass_interaction,surface_volume_ratio,bbox_volume_ratio,surface_mass_ratio,bbox_mass_ratio,density_real
1,1566,57773,26671.5,62721.7385915598,51.1327342987061,63.8318004608154,63.7338780211285,208020.653476093,26671.4841620408,4579,103.687330347268,26.895716,50.0,29.338650000000005,29.338632578244884,860.7558726917244,2.351638962621517,7.799360871195583,2.3516403590628143,7.799365502582367,0.9999994061841592
0,2114,3795,279.4,1028.5520656951314,12.984999656677246,10.73859977722168,12.474300384521484,1739.425357512569,279.38030489886427,149,20.965111765562487,0.24178626,50.0,0.30734,0.3073183353887507,0.0944512171983786,3.6812887104335417,6.225573935263311,3.681548225339175,6.2260128112546855,0.9999295093015902
0,2115,20591,12494.2,27990.72531443248,60.52879905700684,23.654199600219727,47.15520095825195,67514.94440912014,12494.153312437054,3264,80.29240095690048,11.66883,50.0,13.743620000000002,13.743568643680762,188.8863848826638,2.240297523205365,5.403702870861691,2.2403058946435106,5.403723063163771,0.9999962632611175
0,10,30708,6960.5,22507.57036745586,47.55189895629883,35.269100189208984,38.41320037841797,64423.26575964834,6960.442343792698,3855,70.5738371198492,6.1658287,30.0,7.656550000000001,7.656486578171968,58.6222723101026,3.233614017305633,9.25555143447286,3.233640802660774,9.255628102012915,0.999991716657237
1,299,26519,3515.4,8609.005975907334,28.039989471435547,26.60091781616211,26.89653861988336,20061.84454590408,3515.3839044120964,1412,47.08793505720233,3.588529,25.0,3.866940000000001,3.866922294853307,14.953156498860048,2.448940654237735,5.706845464500221,2.448951866993053,5.706871593945916,0.9999954214064107
1,117,89510,44507.2,112720.75782045622,94.2569808959961,59.59547424316406,66.51671874988824,373643.6642933314,44507.13146884252,10381,129.8478835836285,44.64613,75.0,48.95792,48.95784461572678,2396.874240069182,2.532640961922031,8.395128525122484,2.53264486163003,8.39514145176718,0.9999984602231217
1,2290,62244,40022.6,101554.15672475712,101.16372680664062,33.13348865509033,86.12694061268121,288689.5118760003,40022.51577155335,10022,136.92982725164717,39.587055,75.0,44.02486,44.02476734870869,1938.184219059472,2.5374202756631785,7.213162360166514,2.5374256157314923,7.21317754045814,0.9999978954778888
1,120,51954,5632.6,16770.14549305932,34.605838775634766,24.41879844665528,60.28228271473199,50940.5183382625,5632.535364006189,2055,73.6735733098543,5.7515087,75.0,6.195860000000001,6.195788900406809,38.38824061647453,2.977336486357866,9.043872871899744,2.9773706526950963,9.043976654596737,0.9999885246611137
1,120,51340,3019.5,7079.999944388117,20.39593410491944,27.23236083984375,24.42817008960992,13568.124764962751,3019.4602316970986,1614,41.884735869414094,3.0245411,75.0,3.32145,3.321406254866809,11.031884805227364,2.3447590476529614,4.493500501726363,2.344789929691764,4.493559684121667,0.9999868295072358
1,2201,25076,7194.3,16232.93627194988,40.21612739562988,48.01397514343262,34.599159240722656,66808.76703093106,7194.250965174353,1546,71.55264168387204,6.9774294,30.0,7.913730000000001,7.913676061691789,62.626695659692174,2.256360767823121,9.286347112426652,2.256376146805225,9.286410406633896,0.9999931842117166
0,1452,9737,2327.9,7961.53259881612,35.2470817565918,19.31807518005371,51.85518730878829,35308.49651529393,2327.851353184616,1566,65.60872847302858,2.1974368,30.0,2.56069,2.560636488503078,6.556996249744947,3.4200492284102064,15.16753147269811,3.420120699684861,15.167848439716806,0.999979102703989
0,1745,30079,5975.6,18858.040274440147,36.094459533691406,34.44648742675781,39.5747265934944,49204.33980406792,5975.5564561835645,3557,63.68303926494796,5.694772,58.0,6.5731600000000014,6.573112101801922,43.20611754308033,3.1558404636254345,8.234209084287421,3.155863460201378,8.234269086881572,0.9999927130637198
0,245,33702,39861.4,79881.17983714551,58.428070068359375,86.12368392944336,78.85768127441406,396815.0568839415,39861.32659991611,3238,130.5743550681712,35.325344,75.0,43.84754000000001,43.84745925990772,1922.603223797175,2.0039732632859235,9.954870046810736,2.003976953373991,9.954888377567862,0.9999981586175124
0,1875,2871,1673.6,5441.114745072667,21.53672790527344,13.325732231140137,21.29051971435547,6110.223081490817,1673.517583203541,299,33.08613029759131,0.73401105,30.0,1.84096,1.8408693415238957,3.388966822971831,3.251144087639022,3.6509459138926967,3.2513041988223272,3.6511257143736047,0.9999507547822306
0,2018,3960,1760.5,4424.801721213631,15.066092491149902,21.342723846435547,29.81553649902344,9587.22903801932,1760.465363276748,173,39.64171061977133,1.153594,,1.93655,1.9365118996044228,3.750152119178945,2.5133778592522757,5.445742140312025,2.5134273093437995,5.445849283949924,0.9999803256329156
0,2018,2528,1473.9,4334.204810137347,14.85622215270996,25.61397361755371,18.88543128967285,7186.4142890973935,1473.8119920142356,180,35.120399999549576,0.7366096,,1.6212900000000003,1.6211931912156594,2.628424308986037,2.940636956467431,4.875781456745636,2.940812555211915,4.876072611728335,0.9999402890387649
0,2018,4754,3100.3,9434.448177052083,47.28802108764648,17.302048683166504,14.835783004760742,12138.335642298363,3100.2716315704693,406,52.49398331604023,1.3072554,,3.4103300000000005,3.4102987947275167,11.630244288623096,3.043075888479206,3.9152132510719486,3.04310373355027,3.915249076465466,0.9999908497792049
0,1878,3916,871.3,2915.661973805696,20.94881248474121,11.87278175354004,30.13995742797852,7496.430665280745,871.222561500934,73,38.57761948135732,0.55191964,30.0,0.95843,0.9583448176510276,0.9185064235812744,3.346335330891422,8.603730822082802,3.346632769452872,8.604495563528527,0.9999111230356181
